Source node name,Source node type,Relationship type,Target node type,Target node name
DB00152,DRUG,TREAT,DISEASE,C0042963
DB00152,DRUG,TREAT,DISEASE,C0043121
DB00152,DRUG,TREAT,DISEASE,C0085584
DB00152,DRUG,TREAT,DISEASE,C0234985
DB00152,DRUG,TREAT,DISEASE,C0743971
DB03904,DRUG,TREAT,DISEASE,C0009450
DB06637,DRUG,TREAT,DISEASE,C0026769
DB06637,DRUG,TREAT,DISEASE,C0311394
DB00252,DRUG,TREAT,DISEASE,C0003811
DB00252,DRUG,TREAT,DISEASE,C0014544
DB00252,DRUG,TREAT,DISEASE,C0014556
DB00252,DRUG,TREAT,DISEASE,C0023895
DB00252,DRUG,TREAT,DISEASE,C0035078
DB00252,DRUG,TREAT,DISEASE,C0036572
DB00252,DRUG,TREAT,DISEASE,C0038220
DB00252,DRUG,TREAT,DISEASE,C0239981
DB00252,DRUG,TREAT,DISEASE,C0311335
DB00252,DRUG,TREAT,DISEASE,C0687133
DB00252,DRUG,TREAT,DISEASE,C0728899
DB00252,DRUG,TREAT,DISEASE,C0751494
DB01193,DRUG,TREAT,DISEASE,C0002962
DB01193,DRUG,TREAT,DISEASE,C0003811
DB01193,DRUG,TREAT,DISEASE,C0020538
DB01193,DRUG,TREAT,DISEASE,C0085612
DB01193,DRUG,TREAT,DISEASE,C0151636
DB01193,DRUG,TREAT,DISEASE,C0151744
DB01193,DRUG,TREAT,DISEASE,C0340464
DB01193,DRUG,TREAT,DISEASE,C0857121
DB00316,DRUG,TREAT,DISEASE,C0003864
DB00316,DRUG,TREAT,DISEASE,C0004604
DB00316,DRUG,TREAT,DISEASE,C0009443
DB00316,DRUG,TREAT,DISEASE,C0013390
DB00316,DRUG,TREAT,DISEASE,C0013395
DB00316,DRUG,TREAT,DISEASE,C0015967
DB00316,DRUG,TREAT,DISEASE,C0018099
DB00316,DRUG,TREAT,DISEASE,C0018681
DB00316,DRUG,TREAT,DISEASE,C0027424
DB00316,DRUG,TREAT,DISEASE,C0027796
DB00316,DRUG,TREAT,DISEASE,C0029408
DB00316,DRUG,TREAT,DISEASE,C0030193
DB00316,DRUG,TREAT,DISEASE,C0033893
DB00316,DRUG,TREAT,DISEASE,C0035078
DB00316,DRUG,TREAT,DISEASE,C0035435
DB00316,DRUG,TREAT,DISEASE,C0037195
DB00316,DRUG,TREAT,DISEASE,C0037199
DB00316,DRUG,TREAT,DISEASE,C0040460
DB00316,DRUG,TREAT,DISEASE,C0041582
DB00316,DRUG,TREAT,DISEASE,C0149931
DB00316,DRUG,TREAT,DISEASE,C0184567
DB00316,DRUG,TREAT,DISEASE,C0231528
DB00316,DRUG,TREAT,DISEASE,C0234215
DB00316,DRUG,TREAT,DISEASE,C0234238
DB00316,DRUG,TREAT,DISEASE,C0235162
DB00316,DRUG,TREAT,DISEASE,C0242429
DB00316,DRUG,TREAT,DISEASE,C0522251
DB00316,DRUG,TREAT,DISEASE,C0850149
DB00316,DRUG,TREAT,DISEASE,C0948873
DB00316,DRUG,TREAT,DISEASE,C1260880
DB00316,DRUG,TREAT,DISEASE,C2939465
DB00819,DRUG,TREAT,DISEASE,C0013604
DB00819,DRUG,TREAT,DISEASE,C0014544
DB00819,DRUG,TREAT,DISEASE,C0014553
DB00819,DRUG,TREAT,DISEASE,C0017601
DB00819,DRUG,TREAT,DISEASE,C0018802
DB00819,DRUG,TREAT,DISEASE,C0036572
DB00819,DRUG,TREAT,DISEASE,C0149893
DB00819,DRUG,TREAT,DISEASE,C0154946
DB00819,DRUG,TREAT,DISEASE,C0238284
DB00551,DRUG,TREAT,DISEASE,C0009450
DB00551,DRUG,TREAT,DISEASE,C0031542
DB00551,DRUG,TREAT,DISEASE,C0035078
DB00551,DRUG,TREAT,DISEASE,C0042029
DB00551,DRUG,TREAT,DISEASE,C0042487
DB06709,DRUG,TREAT,DISEASE,C0004096
DB06709,DRUG,TREAT,DISEASE,C0007222
DB06709,DRUG,TREAT,DISEASE,C0014544
DB06709,DRUG,TREAT,DISEASE,C0030920
DB06709,DRUG,TREAT,DISEASE,C0040128
DB06709,DRUG,TREAT,DISEASE,C0079043
DB06709,DRUG,TREAT,DISEASE,C0178879
DB06709,DRUG,TREAT,DISEASE,C0264423
DB00787,DRUG,TREAT,DISEASE,C0001175
DB00787,DRUG,TREAT,DISEASE,C0008049
DB00787,DRUG,TREAT,DISEASE,C0009450
DB00787,DRUG,TREAT,DISEASE,C0010823
DB00787,DRUG,TREAT,DISEASE,C0013595
DB00787,DRUG,TREAT,DISEASE,C0015230
DB00787,DRUG,TREAT,DISEASE,C0015967
DB00787,DRUG,TREAT,DISEASE,C0019340
DB00787,DRUG,TREAT,DISEASE,C0019342
DB00787,DRUG,TREAT,DISEASE,C0019345
DB00787,DRUG,TREAT,DISEASE,C0019348
DB00787,DRUG,TREAT,DISEASE,C0019357
DB00787,DRUG,TREAT,DISEASE,C0019360
DB00787,DRUG,TREAT,DISEASE,C0019364
DB00787,DRUG,TREAT,DISEASE,C0019372
DB00787,DRUG,TREAT,DISEASE,C0020517
DB00787,DRUG,TREAT,DISEASE,C0022568
DB00787,DRUG,TREAT,DISEASE,C0022661
DB00787,DRUG,TREAT,DISEASE,C0030193
DB00787,DRUG,TREAT,DISEASE,C0032768
DB00787,DRUG,TREAT,DISEASE,C0032961
DB00787,DRUG,TREAT,DISEASE,C0036916
DB00787,DRUG,TREAT,DISEASE,C0041582
DB00787,DRUG,TREAT,DISEASE,C0042165
DB00787,DRUG,TREAT,DISEASE,C0042749
DB00787,DRUG,TREAT,DISEASE,C0042769
DB00787,DRUG,TREAT,DISEASE,C0085393
DB00787,DRUG,TREAT,DISEASE,C0184567
DB00787,DRUG,TREAT,DISEASE,C0205204
DB00787,DRUG,TREAT,DISEASE,C0276225
DB00787,DRUG,TREAT,DISEASE,C0276226
DB00787,DRUG,TREAT,DISEASE,C0276248
DB00787,DRUG,TREAT,DISEASE,C0277794
DB00787,DRUG,TREAT,DISEASE,C0332563
DB00787,DRUG,TREAT,DISEASE,C0687133
DB00787,DRUG,TREAT,DISEASE,C0740380
DB00787,DRUG,TREAT,DISEASE,C1565489
DB00787,DRUG,TREAT,DISEASE,C1739133
DB00518,DRUG,TREAT,DISEASE,C0009450
DB00518,DRUG,TREAT,DISEASE,C0010709
DB00518,DRUG,TREAT,DISEASE,C0013502
DB00518,DRUG,TREAT,DISEASE,C0013604
DB00518,DRUG,TREAT,DISEASE,C0023895
DB00518,DRUG,TREAT,DISEASE,C0338437
DB01001,DRUG,TREAT,DISEASE,C0004096
DB01001,DRUG,TREAT,DISEASE,C0004099
DB01001,DRUG,TREAT,DISEASE,C0006266
DB01001,DRUG,TREAT,DISEASE,C0008677
DB01001,DRUG,TREAT,DISEASE,C0015263
DB01001,DRUG,TREAT,DISEASE,C0021368
DB01001,DRUG,TREAT,DISEASE,C0022876
DB01001,DRUG,TREAT,DISEASE,C0024117
DB01001,DRUG,TREAT,DISEASE,C0032961
DB01001,DRUG,TREAT,DISEASE,C0034067
DB01001,DRUG,TREAT,DISEASE,C0038218
DB01001,DRUG,TREAT,DISEASE,C0039239
DB01001,DRUG,TREAT,DISEASE,C0241863
DB01001,DRUG,TREAT,DISEASE,C0349790
